,Automated Chess Board (Michael Guerero) [@actproject1],Automated Chess Board (Akash Ravichandran) [@actproject2],DIY Super Smart Chessboard [@actproject3]
Erkennung Schachfigurstellung,nein (Manuell per Ausgangsposition),ja (Kamera / OpenCV),nein
Abmessungen (LxBxH) ,keine Angabe,keine,450mm x 300mm x 50mm
Konnektivität,(+usb) / Seriell,"Ethernet, (+wlan)","Ethernet, (+wlan)"
Automatisches Bewegen der Figuren,ja,ja,nein
Spiel Livestream,nein,nein,nein
Cloud anbindung (online Spiele),nein,nein,ja
Parkposition für ausgeschiedene Figuren,nein,nein,nein
Stand-Alone Funktionalität,nein (PC erfoderlich),ja,ja
Licence,(+gpl) 3+,(+gpl),-
Besonderheiten,-,Sprachsteuerung (Amazon Alexa),Zuganzeige über LED Matrix
